c_searchCode,p_searchCodeDescription
I214,Non-ST elevation (NSTEMI) myocardial infarction
K920,Hematemesis
A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
D689 ,"Coagulation defect, unspecified"
K625,Hemorrhage of anus and rectum
Z951,Presence of aortocoronary bypass graft
E876,Hypokalemia
R140,Abdominal distension (gaseous)
S72142,DISPLACED INTERTROCHANTERIC FRACTURE OF LEFT FEMUR
G009,"Bacterial meningitis, unspecified"
Z794,Long term (current) use of insulin
Z882,Allergy status to sulfonamides status
R319,"Hematuria, unspecified"
I10,Essential (primary) hypertension
R0602,Shortness of breath
E669,"Obesity, unspecified"
I499,"Cardiac arrhythmia, unspecified"
S72143,DISPLACED INTERTROCHANTERIC FRACTURE OF UNSPECIFIED FEMUR
J95811,Postprocedural pneumothorax
J3489,Other specified disorders of nose and nasal sinuses
E785,"Hyperlipidemia, unspecified"
R110,Nausea
J9383,Other pneumothorax
E871,Hypo-osmolality and hyponatremia
K228,Other specified diseases of esophagus
R062,Wheezing
E039,"Hypothyroidism, unspecified"
R042,Hemoptysis
G92,Toxic encephalopathy
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb
G8220,"Paraplegia, unspecified"
S72001,FRACTURE OF UNSPECIFIED PART OF NECK OF RIGHT FEMUR
S42202,UNSPECIFIED FRACTURE OF UPPER END OF LEFT HUMERUS
K219,Gastro-esophageal reflux disease without esophagitis
C61,Malignant neoplasm of prostate
H269,Unspecified cataract
W19,UNSPECIFIED FALL
R252,Cramp and spasm
R42,Dizziness and giddiness
K315,Obstruction of duodenum
4A02,MEASUREMENT CARDIAC
M899,"Disorder of bone, unspecified"
D72829,"Elevated white blood cell count, unspecified"
D72819,"Decreased white blood cell count, unspecified"
C269,Malignant neoplasm of ill-defined sites within the dgstv sys
E119,Type 2 diabetes mellitus without complications
K5900,"Constipation, unspecified"
K648,Other hemorrhoids
K635,Polyp of colon
A0220,"Localized salmonella infection, unspecified"
C50919,Malignant neoplasm of unsp site of unspecified female breast
Z66,Do not resuscitate
I509,"Heart failure, unspecified"
I629,"Nontraumatic intracranial hemorrhage, unspecified"
K5731,Dvrtclos of lg int w/o perforation or abscess w bleeding
S72146,NONDISPLACED INTERTROCHANTERIC FRACTURE OF UNSPECIFIED FEMUR
N3001,Acute cystitis with hematuria
S81812,"LACERATION WITHOUT FOREIGN BODY, LEFT LOWER LEG"
I447,"Left bundle-branch block, unspecified"
R0989,Oth symptoms and signs involving the circ and resp systems
K922,"Gastrointestinal hemorrhage, unspecified"
K767,Hepatorenal syndrome
K689,Other disorders of retroperitoneum
Z981,Arthrodesis status
K319,"Disease of stomach and duodenum, unspecified"
S72113,DISP FX OF GREATER TROCHANTER OF UNSPECIFIED FEMUR
E1022,Type 1 diabetes mellitus w diabetic chronic kidney disease
Z992,Dependence on renal dialysis
E860,Dehydration
J129,"Viral pneumonia, unspecified"
K3580,Unspecified acute appendicitis
I110,Hypertensive heart disease with heart failure
J850,Gangrene and necrosis of lung
R0600,"Dyspnea, unspecified"
S79919,UNSPECIFIED INJURY OF UNSPECIFIED HIP
D65,Disseminated intravascular coagulation
S72051,UNSPECIFIED FRACTURE OF HEAD OF RIGHT FEMUR
N170,Acute kidney failure with tubular necrosis
R1901,"Right upper quadrant abdominal swelling, mass and lump"
Z7951,Long term (current) use of inhaled steroids
S72141,DISPLACED INTERTROCHANTERIC FRACTURE OF RIGHT FEMUR
I959,"Hypotension, unspecified"
S0990,UNSPECIFIED INJURY OF HEAD
T7840,"ALLERGY, UNSPECIFIED"
R5381,Other malaise
J449,"Chronic obstructive pulmonary disease, unspecified"
N289,"Disorder of kidney and ureter, unspecified"
J4550,"Severe persistent asthma, uncomplicated"
I214,Non-ST elevation (NSTEMI) myocardial infarction
A0221,Salmonella meningitis
F10239,"Alcohol dependence with withdrawal, unspecified"
R21,Rash and other nonspecific skin eruption
R17,Unspecified jaundice
A020,Salmonella enteritis
K7460,Unspecified cirrhosis of liver
R5383,Other fatigue
S7292,UNSPECIFIED FRACTURE OF LEFT FEMUR
E8809,"Oth disorders of plasma-protein metabolism, NEC"
R410,"Disorientation, unspecified"
J40,"Bronchitis, not specified as acute or chronic"
J9801,Acute bronchospasm
I2510,Athscl heart disease of native coronary artery w/o ang pctrs
R1110,"Vomiting, unspecified"
A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
C23,Malignant neoplasm of gallbladder
I2601,Septic pulmonary embolism with acute cor pulmonale
E15,Nondiabetic hypoglycemic coma
S72144,NONDISPLACED INTERTROCHANTERIC FRACTURE OF RIGHT FEMUR
E109,Type 1 diabetes mellitus without complications
J1289,Other viral pneumonia
J989,"Respiratory disorder, unspecified"
C249,"Malignant neoplasm of biliary tract, unspecified"
J439,"Emphysema, unspecified"
J988,Other specified respiratory disorders
I771,Stricture of artery
M259,"Joint disorder, unspecified"
Z881,Allergy status to other antibiotic agents status
R682,"Dry mouth, unspecified"
K5790,"Dvrtclos of intest, part unsp, w/o perf or abscess w/o bleed"
A4159,Other Gram-negative sepsis
R109,Unspecified abdominal pain
K659,"Peritonitis, unspecified"
N186,End stage renal disease
A419,"Sepsis, unspecified organism"
M25519,Pain in unspecified shoulder
R000,"Tachycardia, unspecified"
D649,"Anemia, unspecified"
Z882,Allergy status to sulfonamides
M79603,"Pain in arm, unspecified"
E7800,"Pure hypercholesterolemia, unspecified"
F419,"Anxiety disorder, unspecified"
K30,Functional dyspepsia
Z9089,Acquired absence of other organs
C787,Secondary malig neoplasm of liver and intrahepatic bile duct
A021,Salmonella sepsis
G309,"Alzheimer's disease, unspecified"
S72052,UNSPECIFIED FRACTURE OF HEAD OF LEFT FEMUR
I639,"Cerebral infarction, unspecified"
Z7982,Long term (current) use of aspirin
J42,Unspecified chronic bronchitis
R040,Epistaxis
K625,Hemorrhage of anus and rectum
M791,Myalgia
R008,Other abnormalities of heart beat
M7910,"MYALGIA, UNSPECIFIED SITE"
T148,OTHER INJURY OF UNSPECIFIED BODY REGION
Z98890,Other specified postprocedural states
I120,Hyp chr kidney disease w stage 5 chr kidney disease or ESRD
R7989,Other specified abnormal findings of blood chemistry
Z9049,Acquired absence of other specified parts of digestive tract
R011,"Cardiac murmur, unspecified"
R740,Nonspec elev of levels of transamns & lactic acid dehydrgnse
K7030,Alcoholic cirrhosis of liver without ascites
I4891,Unspecified atrial fibrillation
A047,ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE
R600,Localized edema
I8500,Esophageal varices without bleeding
C799,Secondary malignant neoplasm of unspecified site
F329,"Major depressive disorder, single episode, unspecified"
S72009,FRACTURE OF UNSPECIFIED PART OF NECK OF UNSPECIFIED FEMUR
K660,Peritoneal adhesions (postprocedural) (postinfection)
M1990,"Unspecified osteoarthritis, unspecified site"
I480,Paroxysmal atrial fibrillation
I679,"Cerebrovascular disease, unspecified"
R509,"Fever, unspecified"
K5730,Dvrtclos of lg int w/o perforation or abscess w/o bleeding
D696,"Thrombocytopenia, unspecified"
J189,"Pneumonia, unspecified organism"
I890,"Lymphedema, not elsewhere classified"
S72116,NONDISP FX OF GREATER TROCHANTER OF UNSPECIFIED FEMUR
Z881,Allergy status to other antibiotic agents
M542,Cervicalgia
B349,"Viral infection, unspecified"
K920,Hematemesis
K921,Melena
E8342,Hypomagnesemia
R58,"Hemorrhage, not elsewhere classified"
S72059,UNSPECIFIED FRACTURE OF HEAD OF UNSPECIFIED FEMUR
R531,Weakness
I213,ST elevation (STEMI) myocardial infarction of unsp site
I2699,Other pulmonary embolism without acute cor pulmonale
R4020,Unspecified coma
J9601,Acute respiratory failure with hypoxia
J168,Pneumonia due to other specified infectious organisms
U071,COVID-19
F10129,"Alcohol abuse with intoxication, unspecified"
R05,Cough
J45909,"Unspecified asthma, uncomplicated"
S3289,FRACTURE OF OTHER PARTS OF PELVIS
D689,"Coagulation defect, unspecified"
F1910,"Other psychoactive substance abuse, uncomplicated"
R8271,Bacteriuria
R208,Other disturbances of skin sensation
K222,Esophageal obstruction
K529,"Noninfective gastroenteritis and colitis, unspecified"
I219,"Acute myocardial infarction, unspecified"
S7290,UNSPECIFIED FRACTURE OF UNSPECIFIED FEMUR
K2970,"Gastritis, unspecified, without bleeding"
R55,Syncope and collapse
